Amazon_SKU,Name,price,rating,number_of_reviews,stock,url,UUID
B09719T6FT,"GIGABYTE AORUS GeForce RTX 3060 Elite 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060AORUS E-12GD REV2.0 Video Card ",836.99,4.5,12,Only 2 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV2-0-Graphics-WINDFORCE-GV-N3060AORUS/dp/B09719T6FT/ref=sr_1_5?dchild=1&keywords=3060+Graphics+Card&qid=1634071434&sr=8-5,21eec95e-07c8-4ba7-b84a-29b3e8174e9c
B09B2W2ZQ3,"GIGABYTE AORUS GeForce RTX 3070 Master 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 8GB 256-bit GDDR6, GV-N3070AORUS M-8GD REV2.0 Video Card ",1327.99,5.0,1,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV2-0-WINDFORCE-GV-N3070AORUS-M-8GD/dp/B09B2W2ZQ3/ref=sr_1_6?dchild=1&keywords=3070+Graphics+Card&qid=1634071435&sr=8-6,7255c8cc-a596-40ec-b01b-bf126ceebb98
B083HZFK45,"GIGABYTE AORUS GeForce RTX 3080 Ti Xtreme 10G Graphics Card, Max Covered Cooling, 12GB 384-bit GDDR6X, GV-N308TAORUS X-12GD Video Card ",2388.99,3.1,3,Only 1 left in stock - order soon.,https://www.amazon.com/Ladybugs-Colors-Anti-Skid-Bedroom-Kitchen/dp/B083HZFK45/ref=sr_1_17?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-17,9b65022e-84f9-4a18-8bdc-9941a13e6967
B08R5D3374,"GIGABYTE AORUS GeForce RTX 3090 Xtreme WATERFORCE 24G Graphics Card, WATERFORCE All-in-One Cooling System, 24GB 384-bit GDDR6X, GV-N3090AORUSX W-24GD Video Card ",3138.99,4.7,4,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-WATERFORCE-Graphics-GV-N3090AORUSX/dp/B08R5D3374/ref=sr_1_7?dchild=1&keywords=3090+Graphics+Card&qid=1634071438&sr=8-7,5adf9830-24fb-4282-8a74-14cc057010c5
B083HZ3M1X,"GIGABYTE AORUS Radeon RX 6900 XT Master 16G Graphics Card, MAX-Covered Cooling, 16GB 256-bit GDDR6, GV-R69XTAORUS M-16GD Video Card ",2009.0,0.0,no reviews,Only 7 left in stock - order soon.,https://www.amazon.com/GIGABYTE-Graphics-MAX-Covered-GV-R69XTAORUS-M-16GD/dp/B083HZ3M1X/ref=sr_1_13?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634071439&sr=8-13,282fcfad-85ec-42c7-86be-ed3d24dd630c
B09DR6D4MK,"GIGABYTE Eagle GeForce RTX 3060 Ti Rev2.0 Graphics Card 8GB GDDR6 PCI Express 4.0 x16, LHR, WINDFORCE 2X Cooling RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_ HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",949.99,0.0,no reviews,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07142601AXRMG89BIE4T&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09DR6D4MK%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634071434%26sr%3D8-11-spons%26psc%3D1&qualifier=1634071434&id=2088429161560111&widgetName=sp_mtf,c72de486-5c98-454e-8bed-55a3a54cc09b
B09CS2YXTY,"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,0.0,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort/dp/B09CS2YXTY/ref=sr_1_10?dchild=1&keywords=3070+Graphics+Card&qid=1634071435&sr=8-10,7071a6f5-e7b6-4864-9e04-07928a6fdd1b
B09CS2YXTY,"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,0.0,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09478622Z8RGUQCGYNTT&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09CS2YXTY%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dradeon%2Brx%2B6800xt%26qid%3D1634071441%26sr%3D8-16-spons%26psc%3D1&qualifier=1634071441&id=6733095109387229&widgetName=sp_mtf,7071a6f5-e7b6-4864-9e04-07928a6fdd1b
B09CS2YXTY,"GIGABYTE Eagle GeForce RTX 3070 Graphics Card Rev2.0 8GB GDDR6 PCIe 4.0 x16, LHR, WINDFORCE 3X Cooling RGB Fusion 2.0, 2X HDMI 2.1 2X DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1249.99,0.0,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09735253033BXVTP1XB&url=%2FGIGABYTE-GeForce-Graphics-WINDFORCE-DisplayPort%2Fdp%2FB09CS2YXTY%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634071435%26sr%3D8-16-spons%26psc%3D1&qualifier=1634071435&id=3792059594690349&widgetName=sp_mtf,7071a6f5-e7b6-4864-9e04-07928a6fdd1b
B0971BG25M,"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card ",894.11,4.6,22,Only 8 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV2-0-WINDFORCE-GV-N3060GAMING-OC-12GD/dp/B0971BG25M/ref=sr_1_6?dchild=1&keywords=3060+Graphics+Card&qid=1634071434&sr=8-6,011cfa4c-cddc-4468-a4fd-77803e5af8a9
B098PJNWKD,"GIGABYTE GeForce RTX 3060 Ti Gaming OC PRO 8G (REV3.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N306TGAMINGOC PRO-8GD R3 Video Card ",944.99,4.5,5,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-REV3-0-WINDFORCE-GV-N306TGAMINGOC-PRO-8GD/dp/B098PJNWKD/ref=sr_1_20?dchild=1&keywords=3060+Graphics+Card&qid=1634071434&sr=8-20,b9e2549e-b23e-4434-9595-0782d68f3e3e
B09G998SNG,"GIGABYTE GeForce RTX 3070 Gaming OC REV2.0 Graphics Card, 8G 256-bit GDDR6, PCIe 4.0 x16, 3X WINDFORCE Fans, Lite Hash Rate Version, RGB Fusion 2.0, 2X HDMI 2X DisplayPort w/ Mytrix_HDMI Cable ",1249.99,0.0,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08745942P5NPE0W9TM82&url=%2FGIGABYTE-Graphics-WINDFORCE-DisplayPort-Mytrix_HDMI%2Fdp%2FB09G998SNG%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634071435%26sr%3D8-2-spons%26psc%3D1&qualifier=1634071435&id=3792059594690349&widgetName=sp_atf,e900d109-de07-4a60-8ce1-6555a96653e5
