BestBuy_Price,BestBuy_Status,BestBuy_Rating,BestBuy_Review,BestBuy_Model Number,BestBuy_SKU,BestBuy_Link,UUID
159.99,SOLD_OUT,4.9,15,GV-N1650OC-4GD ,6409179,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-gtx-1650-4gb-gddr5-pci-express-3-0-graphics-card-black-gray/6409179.p?skuId=6409179,e277507c-ea24-4078-9c1e-0d7bdc5f6e2d
159.99,SOLD_OUT,4.1,16,GV-N165SOC-4GD ,6409188,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-gtx-1650-super-oc-edition-4gb-gddr6-pci-express-3-0-graphics-card-black-gray/6409188.p?skuId=6409188,84fca766-45a5-4340-8d2a-c4b1c621cf78
229.99,SOLD_OUT,4.0,4,GV-N1660OC-6GD ,6409181,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-gtx-1660-oc-edition-6gb-gddr5-pci-express-3-0-graphics-card-black/6409181.p?skuId=6409181,7a2b13fe-15e3-4326-a824-b36b781c76e2
239.99,SOLD_OUT,4.6,13,GV-N166SOC-6GD ,6409171,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-gtx-1660-super-oc-edition-6gb-gddr6-pci-express-3-0-graphics-card-black/6409171.p?skuId=6409171,482aeb2a-b840-4218-9cec-71b5cc3d5d38
279.99,SOLD_OUT,5.0,2,GV-N166TOC-6GD ,6409180,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-gtx-1660-ti-6gb-gddr6-pci-express-3-0-graphics-card-black-gray/6409180.p?skuId=6409180,0cf683fe-8f4f-41dc-8406-04522cf0abd2
519.99,SOLD_OUT,4.8,8,GV-N3060AORUS E-12GD Rev2.0 ,6468910,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-12gb-gddr6-pci-express-4-0-graphics-card/6468910.p?skuId=6468910,011cfa4c-cddc-4468-a4fd-77803e5af8a9
459.99,SOLD_OUT,4.6,7,GV-N3060EAGLE OC-12GD ,6454689,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-eagle-oc-12gb-gddr6-pci-express-4-0-graphics-card/6454689.p?skuId=6454689,247604ac-ed8a-4094-9ff7-6819d69b65dd
479.99,SOLD_OUT,4.6,37,GV-N3060GAMING OC-12GD ,6454688,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-gaming-oc-12gb-gddr6-pci-express-4-0-graphics-card/6454688.p?skuId=6454688,694f6498-be13-48e3-8e8a-5e60e890d56d
619.99,SOLD_OUT,0.0,0,GV-N306TAORUS E-8GD Rev2.0 ,6479686,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-aorus-eagle-8g-gddr6-pci-express-4-0-graphics-card/6479686.p?skuId=6479686,e3b8b6fd-44cd-4b8b-b049-838f6b2cc6be
519.99,SOLD_OUT,4.6,5,GV-N306TEAGLE OC-8GD Rev2.0 ,6471951,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-eagle-oc-8g-gddr6-pci-express-4-0-graphics-card/6471951.p?skuId=6471951,c72de486-5c98-454e-8bed-55a3a54cc09b
579.99,SOLD_OUT,4.7,37,GV-N306TEAGLE OC-8GD ,6442485,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-eagle-oc-8g-gddr6-pci-express-4-0-graphics-card-black/6442485.p?skuId=6442485,18f44d8e-25ee-45ae-ac85-2e72eaace9bb
549.99,SOLD_OUT,0.0,0,GV-N306TGAMING OC-8GD Rev2.0 ,6479688,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-gaming-oc-8g-gddr6-pci-express-4-0-graphics-card/6479688.p?skuId=6479688,27d93e37-08b2-495f-85eb-c8babe13b090
599.99,SOLD_OUT,4.8,67,GV-N306TGAMING OC-8GD ,6442484,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-gaming-oc-8g-gddr6-pci-express-4-0-graphics-card-black/6442484.p?skuId=6442484,adbff5a6-a437-4e9f-aa99-d50df22f7ee2
579.99,SOLD_OUT,4.9,12,GV-N306TGAMINGOC PRO-8GD R3 ,6471952,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-ti-gaming-oc-pro-8g-gddr6-pci-express-4-0-graphics-card/6471952.p?skuId=6471952,b9e2549e-b23e-4434-9595-0782d68f3e3e
829.99,SOLD_OUT,0.0,0,GV-N3070AORUS M-8GD Rev2.0 ,6479685,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-aorus-master-8gb-gddr6-pci-express-4-0-graphics-card/6479685.p?skuId=6479685,7255c8cc-a596-40ec-b01b-bf126ceebb98
499.99,SOLD_OUT,4.7,14,GV-N3070EAGLE-8GD ,6437912,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-eagle-8gb-gddr6-pci-express-4-0-graphics-card/6437912.p?skuId=6437912,7071a6f5-e7b6-4864-9e04-07928a6fdd1b
679.99,SOLD_OUT,0.0,0,GV-N3070EAGLE OC-8GD Rev2.0 ,6471958,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-eagle-oc-8gb-gddr6-pci-express-4-0-graphics-card/6471958.p?skuId=6471958,e6a76279-d921-4ed2-909b-48415f3b187d
749.99,SOLD_OUT,4.9,203,GV-N3070GAMING OC-8GD ,6437909,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-gaming-oc-8gb-gddr6-pci-express-4-0-graphics-card/6437909.p?skuId=6437909,e900d109-de07-4a60-8ce1-6555a96653e5
779.99,SOLD_OUT,4.7,163,GV-N3070VISION OC-8GD ,6439385,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070-vision-oc-8gb-gddr6-pci-express-4-0-graphics-card/6439385.p?skuId=6439385,ae2b0141-b1c2-4e5d-a654-460ea388738c
979.99,SOLD_OUT,4.6,11,GV-N307TAORUS M-8GD ,6467788,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070ti-aorus-master-8gb-gddr6x-pci-express-4-0-graphics-card-black/6467788.p?skuId=6467788,3032c504-14b9-4fee-8863-900a557fd47a
619.99,SOLD_OUT,4.8,18,GV-N307TEAGLE-8GD ,6467782,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070ti-eagle-8gb-gddr6x-pci-express-4-0-graphics-card-black/6467782.p?skuId=6467782,965cc723-e3a3-4459-a2f1-90a03fd22a46
799.99,SOLD_OUT,0.0,0,GV-N307TEAGLE OC-8GD ,6467781,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070ti-eagle-oc-8gb-gddr6x-pci-express-4-0-graphics-card-black/6467781.p?skuId=6467781,be44ef70-2661-49ea-9ad4-00000297c89d
879.99,SOLD_OUT,4.7,29,GV-N307TGAMING OC-8GD ,6467779,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070ti-gaming-oc-8gb-gddr6x-pci-express-4-0-graphics-card-black/6467779.p?skuId=6467779,b5b3b06d-73c4-44e8-9338-34ac8baecc77
919.99,SOLD_OUT,4.8,9,GV-N307TVISION OC-8GD ,6467785,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3070ti-vision-oc-8gb-gddr6x-pci-express-4-0-graphics-card-white/6467785.p?skuId=6467785,e394d9ce-7863-47b1-9268-8def6ca8e028
1109.0,SOLD_OUT,0.0,0,GV-N3080AORUS M-10GD Rev2.0 ,6462198,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-aorus-master-10gb-rev-2-0-gddr6x-pci-express-4-0-graphics-card/6462198.p?skuId=6462198,cb27752d-4a5d-45e7-ab21-7f7287860a60
1149.99,SOLD_OUT,4.6,5,GV-N3080AORUS X-10GD Rev2.0 ,6471954,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-aorus-master-10gb-gddr6x-pci-express-4-0-graphics-card/6471954.p?skuId=6471954,fc3ab0c0-c047-467e-a8f9-265037285af8
1049.99,SOLD_OUT,0.0,0,GV-N3080EAGLE OC-10GD ,6430621,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-eagle-oc-10gb-gddr6x-pci-express-4-0-graphics-card/6430621.p?skuId=6430621,08d0c615-c420-4985-9c51-94fe4a313813
1029.99,SOLD_OUT,0.0,0,GV-N3080GAMING OC -10GD Rev2.0 ,6471960,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-gaming-oc-10gb-gddr6x-pci-express-4-0-graphics-card/6471960.p?skuId=6471960,42ad9415-8e50-4ff0-81ec-afeba501caf4
1649.99,SOLD_OUT,4.8,5,GV-N308TAORUS M-12GD ,6468932,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-ti-aorus-master-12gb-gddr6x-pci-express-4-0-graphics-card/6468932.p?skuId=6468932,24b3e46c-7576-4517-ad92-3c90707e8c4b
