Name,price,rating,number_of_reviews,stock,url
"4K HDMI Cable 5ft,TESmart HDMI 2.0 High Speed 18Gbps Cable Supports 3D 4K@60Hz True HD Dolby 7.1 ARC HDCP 2.2 Compatible with UHD TV, PS5, PS4, Blu-ray, PC, Projector, Monitor（1.5m/5ft) ",7.99,4.7 out of 5 stars,573,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0689621EMH0A50JH0V8&url=%2FTESmart-Supports-Compatible-Projector-Monitor%25EF%25BC%25881-5m%2Fdp%2FB08FMFW2C1%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1634064924%26sr%3D8-20-spons%26psc%3D1%26smid%3DA3KA5K3AV7RR3X&qualifier=1634064924&id=8865292638937371&widgetName=sp_btf
Lost Judgment - PlayStation 5 ,59.5,4.9 out of 5 stars,20,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A075778427FASCUMXNN16&url=%2FLost-Judgment-PlayStation-5%2Fdp%2FB094F4RX8H%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1634064924%26sr%3D8-21-spons%26psc%3D1&qualifier=1634064924&id=8865292638937371&widgetName=sp_btf
MSI NVIDIA GeForce RTX 3060 Gaming X LED 12GB GDDR6 VRAM Graphics Card Dual TORX 4.0 Fans 3584 CUDA Cores RGB Mystic Light PCIe 4.0 1xHDMI 3X DisplayPort 1.4a Mazepoly Accessories ,899.0,5.0 out of 5 stars,1,Only 3 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06575581E52CU153PBNP&url=%2FMSI-Graphics-DisplayPort-Mazepoly-Accessories%2Fdp%2FB09GZHNKBP%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-1-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_atf
MSI NVIDIA GeForce RTX 3060 Ti Gaming X LHR 8GB GDDR6 VRAM Graphics Card X RGB Dual TORX 4.0 Fans 4864 CUDA Cores PCIe 4.0 x 16 DirectX 12 3 x DisplayPort 1 x HDMI Mazepoly Accessory ,939.0,,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0463736YQ5G95HV3BKF&url=%2FMSI-Graphics-DisplayPort-Mazepoly-Accessory%2Fdp%2FB09FVLSNZ2%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1634064926%26sr%3D8-2-spons%26psc%3D1&qualifier=1634064926&id=3090987232345433&widgetName=sp_atf
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M ",809.0,4.4 out of 5 stars,296,Only 14 left in stock - order soon.,https://www.amazon.com/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600H-10M/dp/B08W8DGK3X/ref=sr_1_3?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-3
"2021 Newest EV GA GeForce RTX 3060 XC Gaming, 12G-P5-3657-KR, 12GB GDDR6, Dual-Fan, Metal Backplate +AllyFlex HDMI ",Not available,4.3 out of 5 stars,50,out of stock,https://www.amazon.com/GeForce-RTX-3060-12G-P5-3657-KR-Backplate/dp/B092L2KTHD/ref=sr_1_4?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-4
"EVGA GeForce RTX 3060 XC Gaming, 12G-P5-3657-KR, 12GB GDDR6, Dual-Fan, Metal Backplate ",Not available,4.5 out of 5 stars,349,out of stock,https://www.amazon.com/EVGA-GeForce-12G-P5-3657-KR-Dual-Fan-Backplate/dp/B08WM28PVH/ref=sr_1_5?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-5
"ASUS TUF Gaming NVIDIA GeForce RTX 3060 V2 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",Not available,4.6 out of 5 stars,6,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B0985VND1G/ref=sr_1_6?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-6
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Tri-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X Trio 12G) ,Not available,4.2 out of 5 stars,31,out of stock,https://www.amazon.com/MSI-GeForce-192-Bit-Tri-Frozr-Graphics/dp/B08WT47L8B/ref=sr_1_7?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-7
"ZOTAC Gaming GeForce RTX 3060 Twin Edge 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop, ZT-A30600E-10M ",843.0,4.2 out of 5 stars,35,Only 19 left in stock - order soon.,https://www.amazon.com/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600E-10M/dp/B08ZZW34T3/ref=sr_1_8?dchild=1&keywords=3060+Graphics+Card&qid=1634064926&sr=8-8
