MicroCenter_Name,MicroCenter_Price,MicroCenter_SKU,MicroCenter_Model Number,MicroCenter_Link
Sapphire Technology AMD Radeon RX 6900 XT Nitro Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,579.99",220053,11308-01-20G,https://www.microcenter.com/product/632471/sapphire-technology-amd-radeon-rx-6900-xt-nitro-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
ASRock AMD Radeon RX 6700 XT Challenger D Overclocked Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,849.99,295618,VG-RX6700XT CLD,https://www.microcenter.com/product/639278/asrock-amd-radeon-rx-6700-xt-challenger-d-overclocked-dual-fan-12gb-gddr6-pcie-40-graphics-card
PNY Quadro P1000 V2 Single-Fan 4GB GDDR5 PCIe 3.0 Graphics Card,349.99,181941,VCQP1000V2-PB,https://www.microcenter.com/product/628463/pny-quadro-p1000-v2-single-fan-4gb-gddr5-pcie-30-graphics-card
PNY Quadro RTX 4000 Single-Fan 8GB GDDR6 PCIe 3.0 Graphics Card,"1,049.99",181990,VCQRTX4000-PB,https://www.microcenter.com/product/613412/pny-quadro-rtx-4000-single-fan-8gb-gddr6-pcie-30-graphics-card
ASUS NVIDIA GeForce RTX 3080 Ti TUF Overclocked Triple-Fan 12GB GDDR6X PCIe 4.0 Graphics Card,"1,899.99",279877,TUFRTX3080TIO12,https://www.microcenter.com/product/637879/asus-nvidia-geforce-rtx-3080-ti-tuf-overclocked-triple-fan-12gb-gddr6x-pcie-40-graphics-card
ASUS NVIDIA GTX 1650 Dual Overclocked Dual-Fan 4GB GDDR6 PCIe 3.0 Graphics Card,209.99,246843,DGTX1650O4GD6MN,https://www.microcenter.com/product/635036/asus-nvidia-gtx-1650-dual-overclocked-dual-fan-4gb-gddr6-pcie-30-graphics-card
PowerColor AMD Radeon RX 6800 Red Dragon Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,169.99",217679,AXRX680016GBD63,https://www.microcenter.com/product/632322/powercolor-amd-radeon-rx-6800-red-dragon-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
PNY Quadro P620 V2 Single-Fan 2GB GDDR5 PCIe 3.0 Graphics Card,199.99,181974,VCQP620V2-PB,https://www.microcenter.com/product/628460/pny-quadro-p620-v2-single-fan-2gb-gddr5-pcie-30-graphics-card
MSI GAMING X GeForce GTX 1050 Ti Overclocked Dual-Fan 4GB GDDR5 PCIe Video Card,299.99,176057,GTX 1050 TI GAMING X 4G,https://www.microcenter.com/product/471800/msi-gaming-x-geforce-gtx-1050-ti-overclocked-dual-fan-4gb-gddr5-pcie-video-card
PNY Quadro RTX 5000 Single-Fan 16GB GDDR6 PCIe 3.0 Graphics Card,"2,499.99",181933,VCQRTX5000-PB,https://www.microcenter.com/product/628540/pny-quadro-rtx-5000-single-fan-16gb-gddr6-pcie-30-graphics-card
ASRock AMD Radeon RX 6900 XT Formula Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,999.99",282228,VG-RX6900XT OCF,https://www.microcenter.com/product/638047/asrock-amd-radeon-rx-6900-xt-formula-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3080 ROG Strix V2 LHR Gaming White Overclocked Triple-Fan 10GB GDDR6X PCIe 4.0 Graphics Card,"1,159.99",307348,RTX3080O10GWTV2,https://www.microcenter.com/product/640225/asus-nvidia-geforce-rtx-3080-rog-strix-v2-lhr-gaming-white-overclocked-triple-fan-10gb-gddr6x-pcie-40-graphics-card
PowerColor AMD Radeon RX 6900 XT Liquid Devil Ultimate Overclocked Liquid Cooled 16GB GDDR6 PCIe 4.0 Graphics Card,"2,299.99",264366,LDAXRX6900XTU16,https://www.microcenter.com/product/636418/powercolor-amd-radeon-rx-6900-xt-liquid-devil-ultimate-overclocked-liquid-cooled-16gb-gddr6-pcie-40-graphics-card
