Product_Name,MicroCenter_SKU,BestBuy_SKU,GameStop_SKU,Adorama_SKU,BH_SKU,Amazon_SKU,UUID
GIGABYTE AMD Radeon RX 6800 XT AORUS MASTER 16GB GDDR6 PCIe 4.0 Graphics Card,,6453895,,,,B083GT6Q25,bb80bf34-3379-4c11-a6d5-fd026d04a6d8
MSI AMD Radeon RX 6900 XT 16G GDDR6 PCIe 4.0 Graphics Card ,,6444716,,,,B08W2GPR62,6159b137-67c6-4907-8ce0-866852e315c3
ASUS NVIDIA GeForce TUF RTX3070 8GB GDDR6 PCIe 4.0 Graphics Card ,,6439128,,,,,44637e77-d48c-4f78-91e5-e9161d1db252
GIGABYTE NVIDIA GeForce RTX 3070 VISION OC 8GB GDDR6 PCIe 4.0 Graphics Card,,6439385,,,GIGR3070VO8,,ae2b0141-b1c2-4e5d-a654-460ea388738c
XFX AMD Radeon™ RX 6800XT 16GB GDDR6 PCIe 4.0 Gaming Graphics Card ,,6441226,,,,,8614c5de-95b5-4aa1-b07d-a17032cd5599
GIGABYTE AMD Radeon RX 6900 XT 16G GAMING OC GDDR6 PCIe 4.0 Graphics Card ,,6468934,,,,,b5cf595e-5931-4edf-9b8b-dade76852c2c
ASUS NVIDIA GeForce ROG STRIX RTX3070 8GB GDDR6 PCIe 4.0 Graphics Card ,,6439127,,,,,644f2aa5-ff5e-47b4-b656-e03524ba2aa4
MSI AMD Radeon RX 6800 16G 16GB GDDR6 PCIe 4.0 Graphics Card ,,6441020,,,,,1bd20b0c-733c-4a63-ae51-c37c609d76f2
GIGABYTE NVIDIA GeForce RTX 3090 AORUS MASTER 24GB GDDR6X PCIe 4.0 Graphics Card,,6437910,,,,B08R5D3374,5adf9830-24fb-4282-8a74-14cc057010c5
MSI AMD Radeon RX 6800 XT 16G 16GB GDDR6 PCIe 4.0 Graphics Card ,,6440913,,,,B08RJ6YBH5,fb6723d6-8b7e-4dc3-8005-b03851073c3c
MSI AMD Radeon RX 5600 XT MECH OC 6GB GDDR6 PCIe 4.0 Graphics card ,,6430143,,,,,c1ccd1be-9592-419e-bc3f-0028b712b2c8
GIGABYTE NVIDIA GeForce GTX 1660 OC Edition 6GB GDDR5 PCIe 3.0 Graphics Card ,,6409181,,,,,7a2b13fe-15e3-4326-a824-b36b781c76e2
XFX Speedster QICK 319 AMD Radeon RX 6800 16GB GDDR6 PCIe 4.0 Gaming Graphics Card ,,6453267,,,XFRX6800QBK,,72f71851-0e86-4a32-8bf9-b2ef919a08ff
GIGABYTE NVIDIA GeForce RTX 3060 Ti EAGLE OC 8G GDDR6 PCIe 4.0 Graphics Card ,,6442485,,,,,18f44d8e-25ee-45ae-ac85-2e72eaace9bb
XFX Merc 319 AMD Radeon™ RX 6800XT 16GB GDDR6 PCIe 4.0 Gaming Graphics Card ,,6442585,,,XFR68XTACBD9,,cc639917-20b9-4963-b9ef-2f6d0f006143
XFX Speedster MERC319 AMD Radeon™ RX 6800 16GB GDDR6 PCIe 4.0 Gaming Graphics Card ,,6444357,,,XFR68XLATBD9,B08NX14LV1,775c4aaa-9e71-45b1-9b93-6f8bec6da59e
